actor,total movies
Robert De Niro,57
Nicolas Cage,56
Bruce Willis,48
Samuel L. Jackson,41
Clint Eastwood,40
Tom Hanks,40
Nicole Kidman,40
Harrison Ford,36
Tom Cruise,35
Eddie Murphy,35
Johnny Depp,35
Robert Downey Jr.,34
Liam Neeson,34
Mel Gibson,33
Julianne Moore,33
Robin Williams,33
Denzel Washington,33
Mark Wahlberg,33
Matthew McConaughey,32
Jeff Bridges,32
Gene Hackman,32
Meryl Streep,32
Brad Pitt,31
Sylvester Stallone,31
Al Pacino,31
Morgan Freeman,31
Adam Sandler,31
John Travolta,30
Woody Harrelson,30
Kevin Costner,30
Kurt Russell,29
John Cusack,29
Matt Damon,29
Arnold Schwarzenegger,29
Owen Wilson,29
Charlize Theron,29
Dennis Quaid,28
Julia Roberts,28
Keanu Reeves,27
Ewan McGregor,27
Sandra Bullock,27
Dwayne Johnson,27
Ethan Hawke,26
Anthony Hopkins,26
Tommy Lee Jones,26
Russell Crowe,26
Jason Statham,26
George Clooney,26
Ben Affleck,25
Christian Bale,25
Jim Carrey,25
Danny DeVito,25
Will Ferrell,25
Michael Douglas,25
Cate Blanchett,25
Will Smith,25
Susan Sarandon,24
Diane Keaton,24
Ed Harris,24
Brendan Fraser,24
Steve Carell,24
James Franco,24
Ben Stiller,24
Sean Connery,23
Alec Baldwin,23
Dustin Hoffman,23
Michael Caine,23
Sean Penn,23
Pierce Brosnan,23
Jake Gyllenhaal,23
Jackie Chan,23
Cameron Diaz,23
Leonardo DiCaprio,22
Willem Dafoe,22
Richard Gere,22
Reese Witherspoon,22
Kirsten Dunst,22
Greg Kinnear,22
Joaquin Phoenix,22
Steve Martin,22
Angelina Jolie,22
Michelle Pfeiffer,22
Gerard Butler,22
Aaron Eckhart,21
Harvey Keitel,21
Drew Barrymore,21
Billy Bob Thornton,21
Natalie Portman,21
Nick Nolte,21
Robert Redford,21
Val Kilmer,21
Jack Nicholson,21
Sigourney Weaver,21
Annette Bening,21
Colin Farrell,21
Hugh Jackman,21
Vince Vaughn,20
